100 100 23 0.5
0	1	1	4	3	9	7	9	15	14	10	13	7	6	0	0	0	0	1	0	0	0	0
0	0	0	2	7	8	10	11	15	16	11	7	5	4	3	1	0	0	0	0	0	0	0
0	0	0	2	1	5	11	17	13	12	13	11	7	5	2	1	0	0	0	0	0	0	0
0	0	0	2	5	4	7	17	15	12	14	3	8	3	5	3	1	0	0	1	0	0	0
0	0	1	3	3	8	17	7	8	16	15	7	7	4	2	1	0	1	0	0	0	0	0
0	1	1	2	3	8	10	15	17	12	12	10	1	3	3	1	0	0	1	0	0	0	0
0	0	2	2	6	10	8	13	9	11	12	13	4	7	3	0	0	0	0	0	0	0	0
0	1	0	3	5	5	9	12	8	20	6	11	6	7	3	1	1	0	2	0	0	0	0
0	0	1	1	4	7	10	10	14	15	18	6	7	2	1	2	2	0	0	0	0	0	0
0	0	2	0	4	6	10	17	9	17	11	12	3	4	1	3	1	0	0	0	0	0	0
0	0	0	3	7	9	7	11	13	12	9	12	4	7	1	4	1	0	0	0	0	0	0
0	0	2	2	4	11	11	9	13	12	11	7	11	5	1	1	0	0	0	0	0	0	0
0	0	1	0	6	6	11	17	10	18	10	7	2	6	3	3	0	0	0	0	0	0	0
0	0	0	1	4	7	11	15	10	12	15	6	4	8	2	4	1	0	0	0	0	0	0
0	0	1	0	4	8	11	10	13	16	11	11	7	2	2	1	3	0	0	0	0	0	0
0	0	0	2	3	6	8	12	10	14	15	18	6	2	1	1	1	0	1	0	0	0	0
0	0	1	0	2	10	6	11	11	15	11	9	11	5	1	4	1	2	0	0	0	0	0
0	0	0	2	2	9	11	11	16	13	13	9	7	2	2	2	1	0	0	0	0	0	0
0	0	1	2	4	10	7	10	12	10	16	10	8	4	5	0	0	1	0	0	0	0	0
0	0	1	0	8	8	9	14	10	12	7	12	4	6	0	2	6	0	1	0	0	0	0
0	0	0	0	1	6	11	14	17	15	11	8	10	3	3	1	0	0	0	0	0	0	0
0	0	0	2	2	8	6	17	11	10	17	7	5	9	0	3	2	0	0	1	0	0	0
0	0	0	1	6	9	7	14	18	14	9	4	6	7	2	3	0	0	0	0	0	0	0
0	0	0	2	2	6	6	10	20	13	19	11	3	2	4	1	0	1	0	0	0	0	0
0	0	2	2	5	7	5	15	10	13	9	11	11	3	5	2	0	0	0	0	0	0	0
0	0	0	2	3	6	8	11	14	12	17	5	15	4	2	1	0	0	0	0	0	0	0
0	1	0	3	5	8	12	12	12	9	9	10	4	6	4	4	0	0	1	0	0	0	0
0	1	0	0	4	3	9	12	13	13	10	13	9	2	3	5	1	2	0	0	0	0	0
0	0	0	0	2	7	5	11	17	9	14	9	11	4	5	4	0	1	1	0	0	0	0
0	0	0	0	8	3	11	19	10	12	16	7	5	4	3	1	1	0	0	0	0	0	0
0	1	2	2	3	7	7	13	14	8	14	4	11	8	3	1	1	0	1	0	0	0	0
0	0	0	0	4	10	15	10	12	17	6	7	6	4	5	1	1	1	1	0	0	0	0
0	0	0	3	6	9	9	9	13	10	11	5	5	7	5	5	0	1	0	2	0	0	0
0	0	0	4	3	6	6	11	15	16	14	10	9	2	0	2	1	0	1	0	0	0	0
0	0	1	0	0	11	8	13	14	12	12	9	1	13	4	1	1	0	0	0	0	0	0
0	1	0	2	3	7	12	13	16	12	3	12	4	7	4	3	0	1	0	0	0	0	0
0	0	0	2	4	6	3	17	12	13	10	10	11	7	1	3	0	0	1	0	0	0	0
0	0	3	2	2	4	8	9	12	14	10	17	6	2	3	5	2	0	0	1	0	0	0
0	0	0	5	6	6	14	11	13	11	9	6	6	4	4	5	0	0	0	0	0	0	0
0	0	0	2	4	6	7	14	14	12	12	12	7	4	2	2	1	0	1	0	0	0	0
0	0	0	1	1	7	11	12	14	11	13	10	9	5	4	2	0	0	0	0	0	0	0
0	0	1	1	1	7	11	14	15	15	14	6	7	5	1	1	0	0	0	1	0	0	0
0	0	0	0	4	7	6	11	16	18	15	7	7	4	1	1	2	1	0	0	0	0	0
0	0	1	1	2	4	11	8	19	14	13	10	7	3	4	2	0	0	1	0	0	0	0
0	0	1	2	2	9	6	6	20	12	11	7	7	11	1	3	0	2	0	0	0	0	0
